layer,evidence_domain,endpoint,document_decade,evidence_stage,development_stage,rows
source,pk_adme,DNA on filter,1990s,preclinical_ex_vivo,unknown,4
source,pk_adme,DOSE,2000s,<missing>,unknown,2
source,pk_adme,Decrease,1990s,<missing>,unknown,10
source,pk_adme,Degradation,2000s,<missing>,unknown,4
source,pk_adme,Deuterium retention,1980s,<missing>,unknown,30
source,pk_adme,Distribution,1990s,<missing>,unknown,6
source,pk_adme,Drug absorption,2010s,<missing>,unknown,13
source,pk_adme,Drug absorption,2020s,<missing>,unknown,4
source,pk_adme,Drug degradation,2010s,<missing>,unknown,74
source,pk_adme,Drug degradation,2020s,<missing>,unknown,156
source,pk_adme,Drug excretion,2010s,<missing>,unknown,67
source,pk_adme,Drug excretion,2020s,<missing>,unknown,4
source,pk_adme,Drug metabolism,1970s,<missing>,unknown,104
source,pk_adme,Drug metabolism,2000s,<missing>,unknown,2
source,pk_adme,Drug metabolism,2010s,<missing>,unknown,10421
source,pk_adme,Drug metabolism,2010s,preclinical_in_vitro,unknown,138
source,pk_adme,Drug metabolism,2020s,<missing>,unknown,2770
source,pk_adme,Drug metabolism,2020s,preclinical_in_vitro,unknown,7
source,pk_adme,Drug recovery,1970s,<missing>,unknown,3
source,pk_adme,Drug recovery,2010s,<missing>,unknown,446
source,pk_adme,Drug recovery,2020s,<missing>,unknown,307
source,pk_adme,Drug transport,2010s,<missing>,unknown,49
source,pk_adme,Drug transport,2020s,<missing>,unknown,13
source,pk_adme,Drug uptake,2000s,<missing>,unknown,206
source,pk_adme,Drug uptake,2010s,<missing>,unknown,274
source,pk_adme,Drug uptake,2020s,<missing>,unknown,127
source,pk_adme,EC50,1980s,<missing>,unknown,51
source,pk_adme,EC50,1990s,<missing>,unknown,120
source,pk_adme,EC50,1990s,preclinical_in_vitro,unknown,13
source,pk_adme,EC50,1990s,preclinical_in_vivo,unknown,16
source,pk_adme,EC50,2000s,<missing>,unknown,152
source,pk_adme,EC50,2010s,<missing>,unknown,578
source,pk_adme,EC50,2010s,preclinical_in_vitro,unknown,351
source,pk_adme,EC50,2020s,<missing>,unknown,431
source,pk_adme,EC50,<missing_or_invalid>,<missing>,unknown,139
source,pk_adme,EC90,2000s,<missing>,unknown,87
source,pk_adme,EC90,2020s,<missing>,unknown,108
source,pk_adme,ED15,2000s,<missing>,unknown,1
source,pk_adme,ED50,1980s,<missing>,unknown,28
source,pk_adme,ED50,1990s,<missing>,unknown,132
source,pk_adme,ED50,1990s,preclinical_in_vivo,unknown,119
source,pk_adme,ED50,2000s,<missing>,unknown,107
source,pk_adme,ED50,2010s,<missing>,unknown,15
source,pk_adme,ED50,2010s,preclinical_in_vivo,unknown,1
source,pk_adme,ED50,2020s,<missing>,unknown,1
source,pk_adme,ED70,2010s,preclinical_in_vivo,unknown,4
source,pk_adme,ERH,2000s,<missing>,unknown,38
source,pk_adme,ERH,2010s,<missing>,unknown,1210
source,pk_adme,ERH,2020s,<missing>,unknown,886
source,pk_adme,Efficacy,1990s,preclinical_in_vivo,unknown,16
source,pk_adme,Efficacy,2010s,<missing>,unknown,1
