smiles,n_measurements,n_sources,p_activity_median,p_activity_best,value_nm_median,value_nm_best,endpoints,sources,compound_ids,target_names,document_years,potency_class,active_100nM,active_1uM
CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=C(N=CN=N2)N3CC4(C3)CCN(CC4)CC5CCC6(CC5)CC(=O)C7(C6)CCOCC7,1,1,8.602059991327963,8.602059991327963,2.5,2.5,IC50,PubChem,176456307.0,Histone-lysine N-methyltransferase 2A,,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN1CCC1)(C1CCN(CC2(CN(C2)c2ccc(cc2)S(=O)(=O)C2CC2)OC)CC1)c1cccc(F)c1,1,1,8.602059991327963,8.602059991327963,2.5,2.5,IC50,BindingDB,50582744,Menin,,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2(OC)CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,1,1,8.602059991327963,8.602059991327963,2.5,2.5,IC50,ChEMBL,CHEMBL5085940,Menin,2021,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN1CCC1)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)\C=C\CN2CCCCC2)CC1)c1cccc(F)c1,1,1,8.585026652029182,8.585026652029182,2.6,2.6,IC50,BindingDB,50511904,Menin,,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCCCC5)C4)cc3)C2)CC1,1,1,8.585026652029182,8.585026652029182,2.6,2.6,IC50,ChEMBL,CHEMBL4438797,Menin,2020,high_potency_<=100nM,True,True
CN(C)C/C=C/C(=O)N1CC(C1)S(=O)(=O)C2=CC=C(C=C2)N3CC(C3)(CN4CCC(CC4)[C@](CN5CCC5)([C@H]6CCC[C@@H]6NC(=O)OC)C7=CC(=CC=C7)F)OC,3,1,8.568636235841012,8.638272163982407,2.7,2.3,IC50,PubChem,166628336.0,,,high_potency_<=100nM,True,True
C=CC(=O)N1C[C@@H]2C[C@H]1CN2S(=O)(=O)c1ccc(N2CC(CN3CCC([C@@](CN4CCC4)(c4cccc(F)c4)[C@H]4CCC[C@@H]4NC(=O)OC)CC3)(OC)C2)cc1,1,1,8.568636235841012,8.568636235841012,2.7,2.7,IC50,ChEMBL,CHEMBL5094183,Menin,2021,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN1CCC1)(C1CCN(CC2(CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)\C=C\CN(C)C)OC)CC1)c1cccc(F)c1,1,1,8.568636235841012,8.568636235841012,2.7,2.7,IC50,BindingDB,50582746,Menin,,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN1CCC1)(C1CCN(CC2(CN(C2)c2ccc(cc2)S(=O)(=O)N2C[C@@H]3C[C@H]2CN3C(=O)C=C)OC)CC1)c1cccc(F)c1,1,1,8.568636235841012,8.568636235841012,2.7,2.7,IC50,BindingDB,50582751,Menin,,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2(OC)CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,1,1,8.568636235841012,8.568636235841012,2.7,2.7,IC50,ChEMBL,CHEMBL5081367,Menin,2021,high_potency_<=100nM,True,True
C=CC(=O)N1CC(S(=O)(=O)c2ccc(N3CC(CN4CCC([C@@](CN5CCC5)(c5cccc(F)c5)[C@H]5CCC[C@@H]5NC(=O)OC)CC4)(OC)C3)cc2)C1,1,1,8.55284196865778,8.55284196865778,2.8,2.8,IC50,ChEMBL,CHEMBL5079678,Menin,2021,high_potency_<=100nM,True,True
CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=C(N=CN=N2)N3CC4(C3)CCN(CC4)CC5CCC6(CC5)C[C@H](C(=O)C6)COC,1,1,8.55284196865778,8.55284196865778,2.8,2.8,IC50,PubChem,176456301.0,Histone-lysine N-methyltransferase 2A,,high_potency_<=100nM,True,True
