smiles,n_measurements,n_sources,p_herg_median,p_herg_best,herg_value_nm_median,herg_value_nm_best,endpoints,sources,compound_ids,target_names,document_years,potency_class,active_100nM,active_1uM,herg_blocker_label,herg_label_policy
O=S(=O)(c1ccc2c(c1)CCNCC2)N1CC[C@@H](Oc2ccccc2Cl)C1,1,1,5.464705879957229,5.464705879957229,3430.0,3430.0,Ki,ChEMBL,CHEMBL448971,hERG / KCNH2,2009.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
COCCN(C)C(c1ccccc1)C(O)(c1cccnc1)c1cccnc1,1,1,5.462180904926726,5.462180904926726,3450.0,3450.0,IC50,ChEMBL,CHEMBL1092574,hERG / KCNH2,2010.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Cc1cccnc1Nc1nc(-c2ccc(OC3CCN(C4CC4)CC3)cn2)ns1,1,1,5.460923901207224,5.460923901207224,3460.0,3460.0,IC50,ChEMBL,CHEMBL5196777,hERG / KCNH2,2022.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Cl.O=C(CCc1ccccc1)c1ccccc1OCC(O)CN1CCC(c2ccccc2)CC1,1,1,5.460923901207224,5.460923901207224,3460.0,3460.0,IC50,ChEMBL,CHEMBL1914835,hERG / KCNH2,2011.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
O=C(CCc1ccccc1)c1ccccc1OCC(O)CN1CCC(c2ccccc2)CC1,1,1,5.460923901207224,5.460923901207224,3460.0,3460.0,IC50,ChEMBL,CHEMBL1963280,hERG / KCNH2,2012.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CCN(CC)C(=O)c1cc(C2=CC3(CCNCC3)Oc3ccccc32)cs1,1,1,5.460547508450539,5.460547508450539,3463.0,3463.0,IC50,ChEMBL,CHEMBL562898,hERG / KCNH2,2009.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
O=C1CC(c2nc(-c3cccc(Cl)c3)no2)CN1c1ccc(F)cc1,2,1,5.4604093769761874,5.522878745280337,3500.0,3000.0,IC50,ChEMBL,CHEMBL2069397,hERG / KCNH2,2012.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CN[C@@H]1CCN(c2cc(NCC3CC3)nc(N)n2)C1,1,1,5.459999812689,5.459999812689,3467.37,3467.37,Ki,ChEMBL,CHEMBL1915540,hERG / KCNH2,2013.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1C1=CC=NC(=O)C1,1,1,5.459999812689,5.459999812689,3467.37,3467.37,IC50,ChEMBL,CHEMBL3897772,hERG / KCNH2,2016.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CCCCN(CC)CC#CCc1ccc(C)cc1,1,1,5.459670525209127,5.459670525209127,3470.0,3470.0,IC50,ChEMBL,CHEMBL3093970,hERG / KCNH2,2013.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
