structure_id,endpoint,assay_family,measurements,sources,median_p_activity,min_p_activity,max_p_activity,sd_p_activity,range_log10
STR-60C734A449E352112286,IC50,in_vivo,7,1,6.987162775294828,5.0756690152913215,7.73969005420508,0.8888485033735314,2.6640210389137584
STR-25662CBAC60BFCDEA491,IC50,in_vivo,3,1,6.853871964321762,5.102537861986937,7.736127323134776,1.3404812012870708,2.6335894611478388
STR-B6804D98952727F7BAEB,IC50,in_vivo,3,1,7.494850021680094,5.156144577376839,7.786747947803603,1.4419212673252735,2.6306033704267637
STR-4A902F7AC5A334C3F331,IC50,in_vivo,3,1,6.7495799976911055,6.153044674980176,8.769551078621726,1.3712672557003058,2.6165064036415497
STR-AA4D58E6580A56C280AF,IC50,cellular_functional,4,1,6.011138197355576,5.366531544420413,7.958607314841775,1.1716770043375562,2.5920757704213617
STR-C16923E52D20199D1E6F,IC50,in_vivo,7,1,7.292429823902063,6.0,8.568636235841012,0.9178470815309892,2.568636235841012
STR-C0C912780560E33EFE90,IC50,in_vivo,4,1,7.101020178131401,6.221848749616356,8.698970004336019,1.0604320225069932,2.4771212547196626
STR-6F92DD97001CC1334310,IC50,in_vivo,3,1,6.653647025549361,6.023191662661934,8.494850021680094,1.2843025007929822,2.47165835901816
STR-5DBCD6F56FE679379CBD,IC50,in_vivo,3,1,5.698970004336019,5.055517327849831,7.522878745280337,1.2798793436879774,2.4673614174305065
STR-3F32DD5F6BE1258722C6,IC50,in_vivo,3,1,6.421360790031928,6.079354998593212,8.443697499232712,1.2778190525976234,2.3643425006395002
STR-93E40DC911AC439ED16C,IC50,in_vivo,3,1,6.287350298372789,6.2225731776106885,8.55284196865778,1.3270770652096653,2.330268791047092
STR-B5CAC4750A8CE18735B2,IC50,in_vivo,3,1,6.170696227168975,6.166852888087215,8.468521082957745,1.3277606660849777,2.3016681948705298
STR-A70185AE5063299B6804,IC50,cellular_functional,2,1,7.009090696414669,5.863279432843593,8.154901959985743,1.6204218288620675,2.2916225271421498
STR-29F00BB941CE28B9FDF5,IC50,in_vivo,3,1,6.375717904164332,6.164943898279883,8.455931955649724,1.2662505321199995,2.290988057369841
STR-AC15064651DFC45CB1E4,IC50,in_vivo,3,1,6.565431095965801,6.26440110030182,8.537602002101044,1.23474150339498,2.2732009017992247
STR-4B2666E7A6862E420991,IC50,in_vivo,3,1,6.779891911959945,6.3535962737769305,8.602059991327963,1.194265015936929,2.248463717551032
STR-293650E9A523AABFE8FD,IC50,in_vivo,3,1,6.113509274827518,5.083019952679617,7.316052869248487,1.1176206382328353,2.2330329165688703
STR-83B9ECDFE7009BAA93EB,IC50,in_vivo,3,1,6.806875401645538,6.2262135550188065,8.42021640338319,1.1367853701444588,2.1940028483643834
STR-92ADE75FABA2973BE86F,IC50,in_vivo,2,1,6.911954370472159,5.823908740944319,8.0,1.5387288857590444,2.1760912590556813
STR-BB7B1C3CD2EFE9AFE2C0,IC50,in_vivo,3,1,6.539102157243452,6.200659450546418,8.3767507096021,1.1709589257983382,2.1760912590556813
STR-EF3629BE766B7858BC20,IC50,in_vivo,3,1,6.950781977329818,6.39577394691553,8.55284196865778,1.1200872421424088,2.1570680217422504
STR-E3834AC8FE07071DA4C2,IC50,in_vivo,3,1,5.251811972993799,5.0,7.154901959985743,1.1781881022345586,2.154901959985743
STR-E4FD6D567C5C0E11EFF6,IC50,in_vivo,3,1,6.657577319177793,5.317854923626168,7.469800301796917,1.086694619880836,2.1519453781707485
STR-EE40493687FAFB4EE02B,IC50,cellular_functional,2,1,6.884137808335741,5.809668301829708,7.958607314841775,1.5195293484571588,2.1489390130120665
STR-073AD85CF5EE1E9C87AB,IC50,cellular_functional,2,1,7.148784731777237,6.075720713938118,8.221848749616356,1.517541687322647,2.146128035678238
STR-1F39727F90F76C636B4B,IC50,in_vivo,3,1,6.71669877129645,6.257274868695301,8.397940008672037,1.1269493971222404,2.1406651399767362
STR-4DFCC97C9EE8F38D651E,IC50,in_vivo,3,1,7.522878745280337,5.714442690992226,7.848017604542526,1.1495142562536753,2.1335749135502997
STR-1B33619B4C20E88AAA90,IC50,biochemical_inhibition,2,1,6.76417082049092,5.704432900037521,7.823908740944319,1.498695739666257,2.119475840906798
STR-1E41EA89AAF9C5AE998F,IC50,cellular_functional,2,1,7.097930283832325,6.040958607678906,8.154901959985743,1.4947836794603873,2.113943352306837
STR-1B889CE46B71B0168CDC,IC50,in_vivo,3,1,6.09799710864927,6.060480747381382,8.161150909262744,1.2021388030899534,2.1006701618813626
STR-6453C5C299C7427DFADD,IC50,in_vivo,3,1,6.275724130399211,5.368556230986828,7.468521082957745,1.0532149628059817,2.099964851970917
STR-5A6612853CA9F9DCEA91,IC50,cellular_functional,2,1,7.052841968657781,6.008773924307505,8.096910013008056,1.476535188360514,2.0881360887005513
STR-5D9D18A659624B9D4D9E,IC50,cellular_functional,2,1,6.979303657420887,5.958607314841775,8.0,1.443482610739996,2.0413926851582254
STR-704625FB7455957A2AA3,IC50,in_vivo,3,1,6.360513510731414,6.297569463554474,8.337242168318426,1.1598622677829653,2.0396727047639516
STR-4F1EEBE285BDFD4F35AF,IC50,cellular_functional,2,1,7.045757490560675,6.045757490560675,8.045757490560675,1.4142135623730951,2.0
STR-861C4C3D5E8675710281,IC50,in_vivo,3,1,5.008773924307505,4.991399828238082,6.886056647693163,1.0888998076226715,1.894656819455081
