PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,GENE_SYMBOL,siRNA_ID,ZScoreRepA,ZScoreRepB,ZScoreRepC,ZScoreRepD,PUBCHEM_NCBI_GENE_ID
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,TARGET_NCBI_GENE_ID
RESULT_DESCR,,,,,,,,Gene Symbol,Reagent Identifier,EdUZscore,EdUZscore,EdUZscore,EdUZscore,
117,164221774,,,Inactive,,,,CCDC108,SI04265219,-1.31332,-0.759206,-1.44259,0.610427,255101
118,164221775,,,Inactive,,,,CCDC108,SI04222953,0.339803,3.13707,0.0212878,1.10047,255101
119,164221776,,,Inactive,,,,CCDC111,SI04173680,-0.516365,-0.806438,-0.790401,-1.07947,201973
120,164221777,,,Inactive,,,,CCDC111,SI04351809,0.171653,3.77621,-0.423396,-0.26134,201973
121,164221778,,,Active,,,,CCNA1,SI00057715,-2.08879,-1.80721,-1.33859,-0.66543,8900
122,164221779,,,Inactive,,,,CCNA1,SI00057708,0.0422569,0.390141,-0.189082,0.144435,8900
123,164221780,,,Inactive,,,,CCNA2,SI02653000,-0.63803,-1.14125,0.120724,-1.51006,890
124,164221781,,,Inactive,,,,CCNA2,SI02653070,2.80189,-0.81931,0.184403,-0.103495,890
125,164221782,,,Active,,,,CCNE2,SI02653035,-0.287798,-2.09242,-3.37908,-0.121966,9134
126,164221783,,,Inactive,,,,CCNE2,SI02653238,1.50098,-0.442191,0.388807,0.796935,9134
127,164221784,,,Inactive,,,,CCNH,SI02664760,-1.29086,0.00311999,-0.87834,-0.53729,902
128,164221785,,,Inactive,,,,CCNH,SI02664767,-0.469271,0.712083,-0.0926263,0.115272,902
129,164221786,,,Active,,,,CCNO,SI04375329,-0.58962,-0.538194,-3.01057,-0.642974,10309
130,164221787,,,Inactive,,,,CCNO,SI04323046,-0.499073,0.964472,1.50884,1.82463,10309
131,164221788,,,Inactive,,,,CDC2,SI00299726,-0.833616,-1.19396,-1.02903,0.0615122,5424
132,164221789,,,Inactive,,,,CDC2,SI00299719,-0.108505,2.28006,-0.681263,2.47119,5424
133,164221790,,,Active,,,,CDC23,SI02653413,0.585482,-2.9153,-0.801422,-0.26762,8697
134,164221791,,,Inactive,,,,CDC23,SI02653112,1.40416,-0.639206,-0.246297,0.257784,8697
135,164221792,,,Inactive,,,,CDC34,SI04169375,-0.306422,-0.746223,-1.93843,-1.04025,997
