dataset,dimension,value,rows
observations,unit,mls-1,7
observations,unit,mm.min,7
observations,unit,mm2,6
observations,unit,mmhg,2
observations,unit,mmhg.day,2
observations,unit,mmhg.hr,11
observations,unit,mmhghr-1,19
observations,unit,mmol/g,2
observations,unit,mmol/min,10
observations,unit,mmol/min/mg,3
observations,unit,mmol/ml,1
observations,unit,molefraction,9
observations,unit,ms,253
observations,unit,ms/s1/2,3
observations,unit,mss-1,3
observations,unit,mumindl-1,2
observations,unit,mv,9
observations,unit,nM,3114031
observations,unit,nanometer/sec,4
observations,unit,nanomol/min,8
observations,unit,nanoseconds,2
observations,unit,ng,11
observations,unit,ng*h/mL,40621
observations,unit,ng.eq.h.ml-1,6
observations,unit,ng.eq/ml,1
observations,unit,ng.h-1.ml-1,1
observations,unit,ng.hr,9
observations,unit,ng.hr.kg/mg/ml,35
observations,unit,ng.hr.kg/ml/mg,6
observations,unit,ng.hr/g,204
observations,unit,ng.hr/kg,37
observations,unit,ng.hr/ml,21
observations,unit,ng.hr/ml/mg,11
observations,unit,ng.hr/ml/mg/kg,42
observations,unit,ng.min/g,16
observations,unit,ng/10^6cells,1
observations,unit,ng/10^6cellsin4h,1
observations,unit,ng/10^6cells×hr,3
observations,unit,ng/cm2/min,18
observations,unit,ng/dl,4
observations,unit,ng/g,426
observations,unit,ng/g.hr,78
observations,unit,ng/hr,5
observations,unit,ng/hr/ml,2
observations,unit,ng/kg,9
observations,unit,ng/l,1
observations,unit,ng/mL,171
observations,unit,ng/mg,48
observations,unit,ng/mgprot.,3
observations,unit,ng/min/kg,6
observations,unit,ng/ml.hr,6
observations,unit,ng/ml.kg,4
observations,unit,ng/ml/hr,1
observations,unit,ng/ml/mg,4
observations,unit,ng/ul,10
observations,unit,ngequiv.hr/g,12
observations,unit,ngequiv/g,12
observations,unit,ngg-1,25
observations,unit,nghrg-1,1
observations,unit,ngkg-1,1
observations,unit,ngmin,2
observations,unit,ngml-1,85
observations,unit,ngmlkg-1,1
observations,unit,nl/min,18
observations,unit,nl/pmol/min,5
observations,unit,nm(10e6*cells)-1,18
observations,unit,nm(mgofprotein)-1,8
observations,unit,nm-1min-1(mgofprotein)-1,5
observations,unit,nm.hr.kg/mg,14
observations,unit,nm.hr/g,6
observations,unit,nm.hr/l,12
observations,unit,nm.hr/mg/kg,8
observations,unit,nm.hr/ml,10
observations,unit,nm.min/ml,4
observations,unit,nm/l.hr,1
observations,unit,nm/mg*min,21
observations,unit,nm/min,15
observations,unit,nm/min/mg,7
observations,unit,nm/ml,13
observations,unit,nm/s,6793
observations,unit,nmg-1,2
observations,unit,nmhr-1cm**-2,17
observations,unit,nmhr-1ml-1,2
observations,unit,nmhrml,18
observations,unit,nml-1hr-1,6
observations,unit,nmmin-1,6
observations,unit,nmmin-1(mgofprotein)-1,47
observations,unit,nmmin-1(nmofcytochromep450)-1,9
observations,unit,nmmin-1mg-1,64
observations,unit,nmml-1,10
observations,unit,nmol,15
observations,unit,nmol.hr,6
observations,unit,nmol.hr/g,58
observations,unit,nmol.hr/kg,4
observations,unit,nmol.min.g-1,16
observations,unit,nmol/100.000cellsxh,3
observations,unit,nmol/cm2/hr,2
observations,unit,nmol/g,118
observations,unit,nmol/g.hr,19
