connectivity_key,connectivity_group_size,structure_id,standard_inchi_key,standardized_smiles,p_activity_median,series_id,sources,compound_ids
MMASTHCMDVBHKI,3,STR-F91EC5999F2BF329A3B8,MMASTHCMDVBHKI-MHZLTWQESA-N,CC(C)[C@H](CCCN(C)C)N1CC2(CCN(c3ccnnc3Oc3ccc(F)cc3C(=O)N(C(C)C)C(C)C)C2)C1,5.59176003468815,SER-725533906D2EDF46,PubChem,156531589
PDUGAXSIWNMIBQ,3,STR-648FC2156F27220D48EE,PDUGAXSIWNMIBQ-MGYXHPKISA-N,[2H]C([2H])(COC)N(C)CCC[C@H](C(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3C(=O)N(CC)C(C)C)C2)C1,7.236572006437063,SER-F7B9115420359440,PubChem,165147000
PDUGAXSIWNMIBQ,3,STR-CAD50D46562C0D29D331,PDUGAXSIWNMIBQ-HHHXNRCGSA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN(C)CCOC)C(C)C)C2)C(C)C,7.045757490560675,SER-F7B9115420359440,PubChem,156498110
PDUGAXSIWNMIBQ,3,STR-876F949BC6A8C1B80B12,PDUGAXSIWNMIBQ-MHZLTWQESA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@@H](CCCN(C)CCOC)C(C)C)C2)C(C)C,5.560667306169737,SER-F7B9115420359440,PubChem,156531894
QBITUTDDFZQXDO,3,STR-07CEA1A415CFED11C760,QBITUTDDFZQXDO-HHHXNRCGSA-N,N#Cc1ccc(OCCCN2CCC([C@@](O)(c3ccccc3)C3CCCC3)CC2)cc1,6.568636235841012,SER-317158EDAD8598EE,ChEMBL,CHEMBL3126187
QBITUTDDFZQXDO,3,STR-5292CC2045CB1C1E8EBD,QBITUTDDFZQXDO-UHFFFAOYSA-N,N#Cc1ccc(OCCCN2CCC(C(O)(c3ccccc3)C3CCCC3)CC2)cc1,6.4089353929735005,SER-317158EDAD8598EE,ChEMBL,CHEMBL3126185
QBITUTDDFZQXDO,3,STR-FE3645A659C52B524F3A,QBITUTDDFZQXDO-MHZLTWQESA-N,N#Cc1ccc(OCCCN2CCC([C@](O)(c3ccccc3)C3CCCC3)CC2)cc1,6.276544327964814,SER-317158EDAD8598EE,ChEMBL,CHEMBL3124953
SGLVKVDOHBWLEU,3,STR-28EBAE9BC55156C6772E,SGLVKVDOHBWLEU-LEAFIULHSA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN(C)C[C@@H](C)OC)C(C)C)C2)C(C)C,6.7447274948966935,SER-F7B9115420359440,PubChem,156531618
SGLVKVDOHBWLEU,3,STR-ACDFA018CA06C93D8221,SGLVKVDOHBWLEU-LBNVMWSVSA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN(C)C[C@H](C)OC)C(C)C)C2)C(C)C,6.7447274948966935,SER-F7B9115420359440,PubChem,156531615
SGLVKVDOHBWLEU,3,STR-094F554E2B0D3487D695,SGLVKVDOHBWLEU-MPSNESSQSA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN(C)CC(C)OC)C(C)C)C2)C(C)C,6.2839966563652006,SER-F7B9115420359440,PubChem,156498057
